site,sampleid,mel_s,pb_s,het_s,sum_s,mel_r,pb_r,het_r,sum_r,sum_t,eggs_r,yield_kgha,b,g,nir,r,re,rndvi,gndvi,bndvi,rendvi,sr,rdvi,savi,vari,evi,nli
a,1,32,0,0,32,1402.1818181818182,0,7.272727272727272,1482.1818181818182,1514.1818181818182,72.72727272727273,1274.5085294117648,0.048861104758707,0.048861104758707,0.443465408326975,0.036335221063849,0.149114184081554,0.8485403359725401,0.8015093501567996,0.8015093501567996,0.49672858805183595,12.204835840896864,0.7200207017723912,0.9545087216874932,0.34473118170513545,4.4500400620356455,0.6881053927809724
a,2,28,0,0,28,1410,50,8,1630.5,1658.5,162.5,952.2190162271804,0.043960294260411,0.043960294260411,0.452723752879179,0.029585096726982,0.141076684748726,0.8773188725392855,0.8229848753404547,0.8229848753404547,0.5248346892019997,15.30242598349489,0.7696884041136032,0.9881663386974567,0.48589320718085166,4.519912008897174,0.7477223019546732
a,3,24,0,28,52,466.2857142857143,114.28571428571428,13.714285714285714,1168.5714285714284,1220.5714285714284,574.2857142857143,1501.576140973631,0.053986454354944,0.053986454354944,0.545517091508265,0.027259770615233,0.170073112183147,0.9048153917594687,0.8198961299646349,0.8198961299646349,0.5246633860949594,20.01180051028842,0.8186908931648408,1.0608768119216787,0.9804441907070156,5.259500199805324,0.8321694171957623
a,4,20,0,20,40,536.8421052631579,105.26315789473684,0,1042.1052631578948,1082.1052631578948,400,1311.132337728195,0.049427167573658,0.049427167573658,0.492700855662353,0.029324123064858,0.154949237286609,0.8876524141187444,0.8176549986159256,0.8176549986159256,0.5215032346214153,16.801895646550644,0.787926808290835,1.019119710532255,0.6855463150368328,4.888147573331006,0.7844434651220293
a,5,28,0,0,28,11142.857142857143,0,0,11828.57142857143,11856.57142857143,685.7142857142857,1545.524710953347,0.052270864102024,0.052270864102024,0.526034704733778,0.027249849435908,0.163750924170017,0.9014978848386547,0.8192275263499487,0.8192275263499487,0.5252121316872043,19.304132522677545,0.8126984363685683,1.0489183854790414,0.9182074464288603,5.191436677860808,0.8207024749110934
a,6,8,0,48,56,2154.285714285714,57.142857142857146,171.42857142857142,14140,14196,11757.142857142857,1325.7818610547668,0.053036165110959,0.053036165110959,0.541529615536827,0.026987077304028,0.169094233220354,0.905061442719739,0.8215969810668367,0.8215969810668367,0.524096373866188,20.066256506257538,0.8191362150979353,1.0594318770370326,0.9652430129231893,5.208168039752258,0.8314579117396514
a,7,4,0,12,16,1685.3333333333333,106.66666666666669,26.666666666666668,11712,11728,9893.333333333334,1948.3866024340775,0.049179964184539,0.049179964184539,0.445749411136487,0.034202181995197,0.154035738683236,0.8574765351979446,0.8012647192232653,0.8012647192232653,0.48636361293861835,13.032777008176947,0.735266008415072,0.9646367793085684,0.43791890796456584,4.647009905177786,0.7062863248669468
a,8,0,0,0,0,241.875,12.5,6.25,438.75,438.75,178.125,1516.2256643002029,0.049617943558219,0.049617943558219,0.503245720189743,0.027808563762992,0.157975157923636,0.8952703533205392,0.8205056804715648,0.8205056804715648,0.5221712950916587,18.09678933722816,0.8015090055346831,1.031982220790202,0.7842684714358102,4.9890683795033794,0.8021199245331737
a,9,4,0,20,24,800,0,27.58620689655172,7189.655172413793,7213.655172413793,6362.068965517241,783.7494979716026,0.04744963407734,0.04744963407734,0.493309833381298,0.026300210852421,0.151762511798718,0.898769428557885,0.8245074310013099,0.8245074310013099,0.5294713440044725,18.7568775075386,0.8077864857102671,1.0307593887656072,0.8041541318278878,4.954506950344825,0.8049342299678405
a,10,20,0,28,48,5160,85.71428571428571,342.85714285714283,8067.142857142857,8115.142857142857,2478.5714285714284,878.9713995943207,0.053034830974899,0.053034830974899,0.541752024666294,0.027474214114767002,0.16807340713211,0.903468209147912,0.8216677773831221,0.8216677773831221,0.5264373475425316,19.7185631007771,0.8162548049409353,1.0578564988511012,0.9303493360486527,5.163032177743819,0.8288048138332077
