"x","y","cells","B02M","B03M","B04M","B08M","B02J","B03J","B04J","B08J","B02N","B03N","B04N","B08N","B02JA","B03JA","B04JA","B08JA","B05M","B06M","B07M","B11M","B12M","B8AM","B05J","B06J","B07J","B11J","B12J","B8AJ","B05N","B06N","B07N","B11N","B12N","B8AN","B05JA","B06JA","B07JA","B11JA","B12JA","B8AJA","class"
642879.56068349,6661108.83027309,9514,830,1185,1404,3359,320,711,344,4174,587,696,669,2051,908,856,927,2053,1983.125,2719.875,2977.0625,3580.6875,2333.0625,3302,1208.5625,3352.375,3840.8125,2003.9375,925.75,4186,1377.125,2288.4375,2509.25,1116.5,688.9375,2689.5,1374.125,1770.3125,1990.4375,777.375,556.125,2125.5625,6
642919.56068349,6661118.83027309,9416,851,1169,1341,3445,351,765,380,4461,717,886,871,2789,850,926,938,2222,1960.0625,2776.6875,3033.8125,3547.125,2309.3125,3345.9375,1329.6875,3538.3125,4007.5,2067.9375,972.5625,4327.0625,1496.5625,2370.5,2438.5625,1077.9375,686,2699.3125,1158.0625,1524.4375,1691.1875,623.1875,451.875,1814.875,6
642869.56068349,6661138.83027309,9207,874,1186,1441,3296,385,813,404,4562,599,761,823,2838,858,1022,1147,3141,1765.875,2559.375,2865.25,3202,2052.5625,3201.625,1246.4375,3498.5625,3957.375,2103.75,1016.5,4309.125,1448,2412,2646.875,1793.375,1072.125,3110.0625,1639.875,2285.1875,2561.4375,1489.1875,998.125,2894.25,6
642819.56068349,6661148.83027309,9100,736,1014,1180,3398,426,867,458,4478,526,715,780,2720,843,849,910,1998,1740.75,2615.6875,2889.625,3201.3125,2092.1875,3215.75,1379.1875,3686,4233.875,2173.9375,1033.5625,4507.0625,1433.75,2337.875,2483.75,1968.625,1202.6875,2910.625,1586.9375,2009.125,2209.125,1356.9375,933.75,2500.625,6
642969.56068349,6661148.83027309,9115,849,1142,1475,3111,248,583,236,3352,512,472,506,973,622,537,422,842,1871.5625,2425.5,2600.0625,3337,2220.6875,2973.3125,1105.6875,3114.875,3486.6875,1738.5625,816.3125,3867.3125,882.375,1137.875,1271.25,705.875,466.9375,1446.8125,686.6875,856.6875,915.375,469.375,332.5625,1045.6875,6
642949.56068349,6661178.83027309,8807,578,836,1066,3020,364,748,406,4387,559,683,916,2832,790,829,1055,3064,1591.0625,2300.1875,2613.4375,2810.4375,1794.0625,2967.875,1231.5,3259.8125,3705,2108.3125,1024.1875,4035.375,1524.1875,2320,2585.1875,1967.125,1240.6875,3061.75,1421,1919.6875,2107.875,1624.1875,1048.625,2635.4375,6
643129.56068349,6661228.83027309,8315,781,1102,1277,2877,239,326,202,3464,368,439,517,590,2064,1886,1993,2087,1664.5,2310.0625,2530.5625,2907.875,2295,2734.3125,509.1875,2231.875,3213.25,1106.5625,532.9375,3488.1875,621.875,643.25,757.25,708.3125,617.6875,780.75,1687.125,1635.75,1664.1875,413,363.5625,1597.625,6
643359.56068349,6661248.83027309,8134,448,635,789,1750,398,506,410,2657,359,177,190,224,545,375,224,407,1053.875,1453.0625,1559,2128.0625,1678.3125,1773.9375,743,2220.3125,2980.375,1430.5625,770.8125,3356.1875,233.0625,319.25,355.8125,186.0625,137.75,317.9375,314.625,364.3125,382.375,190.8125,122.875,413.6875,6
643099.56068349,6661268.83027309,7904,751,1125,1336,2684,237,328,203,3331,309,220,272,342,711,495,521,608,1718.25,2338.5625,2552.875,2944.4375,2321.8125,2750.0625,518.5,2126.9375,3084.375,1117.75,559.4375,3377.4375,402.5625,478.0625,438.4375,529.625,418.9375,544.875,719.625,679.0625,708,416.0625,304.625,736.6875,6
643209.56068349,6661268.83027309,7915,676,936,1121,2641,257,373,256,3332,673,701,935,1170,1078,1052,1226,1497,1537.5,2205.9375,2431.875,3112.5625,2406,2673.5,596.75,2200.8125,3099.8125,1248.4375,643.75,3370.375,1005.625,1051.8125,1127.5625,1383.25,1159.875,1220.5625,1298.9375,1310,1301.625,862.125,668.0625,1409.25,6
643269.56068349,6661268.83027309,7921,704,926,1187,2451,224,317,187,3543,390,376,475,625,596,453,602,680,1482.0625,1997.0625,2213.8125,3004.375,2391.75,2472.875,474.3125,2334.1875,3428.6875,1114.25,547.8125,3706.1875,652.5625,666.75,647.9375,938.4375,773.625,760.375,730.875,723.4375,781.5625,758.25,622,840.5,6
643119.56068349,6661318.83027309,7396,753,1083,1271,2835,242,354,200,3770,399,462,537,1606,1469,1310,1491,2249,1543.25,2435.0625,2714.8125,2521.375,1923.6875,2947.5625,583.8125,2391.5,3400,1103.6875,530,3640.6875,812.875,1744.3125,1962.5625,934.1875,627.75,2129.9375,1673.75,2226.3125,2531,794.5625,508.0625,2622.375,6
